"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 13:11:40 UTC 2022","Mon May 23 13:12:00 UTC 2022","20429","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C55 Move folder B to folder A via ""drag and drop""",""
"passed","Mon May 23 13:00:48 UTC 2022","Mon May 23 13:01:00 UTC 2022","11699","","[Astro] [IPFS] [Workspaces] Switch to another workspace","","","","C34 User wants to switch to another workspace",""
"passed","Mon May 23 13:12:03 UTC 2022","Mon May 23 13:12:17 UTC 2022","14133","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C61 Activate the security PIN of the folder using the right Sidebar",""
"passed","Mon May 23 13:13:22 UTC 2022","Mon May 23 13:13:51 UTC 2022","28686","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C49 Delete parent folder with any folders and files from ""DELETED"" via Contextmenu",""
"passed","Mon May 23 13:09:22 UTC 2022","Mon May 23 13:09:36 UTC 2022","14026","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C38 Add color to folder using the context menu",""
"passed","Mon May 23 13:15:29 UTC 2022","Mon May 23 13:15:35 UTC 2022","5805","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C88 Delete tag of folder via right Sidebar",""
"passed","Mon May 23 13:15:52 UTC 2022","Mon May 23 13:15:57 UTC 2022","4981","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C43 Download folder with children folders and files",""
"passed","Mon May 23 13:07:39 UTC 2022","Mon May 23 13:07:54 UTC 2022","15061","","[Files] IO operation with files in IPFS storage","","","","C230 Delete file with comment from ""DELETED"" using the Topbar",""
"passed","Mon May 23 13:05:44 UTC 2022","Mon May 23 13:05:53 UTC 2022","9028","","[Files] IO operation with files in IPFS storage","","","","C66 Preview file by double click",""
"passed","Mon May 23 13:02:35 UTC 2022","Mon May 23 13:02:45 UTC 2022","9942","","[Files] IO operation with files in IPFS storage","","","","C72 Add color of the file using the right sidebar",""
"passed","Mon May 23 12:59:44 UTC 2022","Mon May 23 12:59:46 UTC 2022","2591","","[Smoke] [LoginPage] Check the GhostDrive homepage","","","","Check Term of Service link",""
"passed","Mon May 23 13:14:39 UTC 2022","Mon May 23 13:15:03 UTC 2022","23778","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C93 Check the analytics of the folder with 1 downloads and 1 file using the context menu",""
"passed","Mon May 23 13:08:31 UTC 2022","Mon May 23 13:08:42 UTC 2022","11626","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C35 Create folder using the Topbar menu",""
"passed","Mon May 23 12:59:47 UTC 2022","Mon May 23 12:59:50 UTC 2022","2839","","[Smoke] [LoginPage] Check the GhostDrive homepage","","","","Check Privacy Policy link",""
"passed","Mon May 23 13:02:46 UTC 2022","Mon May 23 13:03:00 UTC 2022","14006","","[Files] IO operation with files in IPFS storage","","","","C94 Change the color of the file using the right sidebar",""
"passed","Mon May 23 13:07:23 UTC 2022","Mon May 23 13:07:39 UTC 2022","15615","","[Files] IO operation with files in IPFS storage","","","","C227 Delete file with added color from ""DELETED"" using the Topbar",""
"passed","Mon May 23 13:06:47 UTC 2022","Mon May 23 13:07:06 UTC 2022","18513","","[Files] IO operation with files in IPFS storage","","","","C51 Upload file to folder using the Topbar",""
"passed","Mon May 23 13:18:26 UTC 2022","Mon May 23 13:18:38 UTC 2022","12545","","[Notes] CRUD operation with secret notes","","","","C215 Add text to note and use ""Undo"" arrow",""
"passed","Mon May 23 13:03:35 UTC 2022","Mon May 23 13:03:44 UTC 2022","8997","","[Files] IO operation with files in IPFS storage","","","","C77 Add PIN code to file via right Sidebar",""
"passed","Mon May 23 13:04:39 UTC 2022","Mon May 23 13:04:50 UTC 2022","11885","","[Files] IO operation with files in IPFS storage","","","","C81 Delete file from ""DELETED"" using the Topbar",""
"passed","Mon May 23 13:10:54 UTC 2022","Mon May 23 13:11:19 UTC 2022","25153","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C46 Move parent folder with any exist folders and files to ""DELETED"" via Contextmenu",""
"passed","Mon May 23 12:59:33 UTC 2022","Mon May 23 12:59:44 UTC 2022","10939","","[Smoke] [LoginPage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Mon May 23 13:14:19 UTC 2022","Mon May 23 13:14:37 UTC 2022","18217","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C86 Edit color of the folder using the right Sidebar",""
"passed","Mon May 23 13:18:01 UTC 2022","Mon May 23 13:18:17 UTC 2022","16180","","[Notes] CRUD operation with secret notes","","","","C213 Download notes as DOCX",""
"passed","Mon May 23 13:11:19 UTC 2022","Mon May 23 13:11:38 UTC 2022","18484","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C54 Open folder with any exist folders and files",""
"passed","Mon May 23 13:10:23 UTC 2022","Mon May 23 13:10:54 UTC 2022","31268","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C45 Move folder with file to ""DELETED"" via Contextmenu",""
"passed","Mon May 23 13:01:37 UTC 2022","Mon May 23 13:02:00 UTC 2022","23049","","[Files] IO operation with files in IPFS storage","","","","C51 Upload Small SVG file to folder",""
